,Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
610,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",People facing limited access constraints,x,X,Low,3,X,There is no available information. + There is no available information.,REG015People facing limited access constraints,2023-06-28,Humanitarian development
611,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",People facing restricted access constraints,x,X,Low,3,X,There is no available information. + There is no available information.,REG015People facing restricted access constraints,2023-06-28,Humanitarian development
612,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Illness cases reported,x,X,Low,3,X,There is no available information. + There is no available information.,REG015Illness cases reported,2023-06-28,Humanitarian development
613,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Buildings damaged,308000,OCHA 18/05/2023 +UNFPA 03/03/2023,Low,3,https://reliefweb.int/report/turkiye/turkiye-earthquake-2023-humanitarian-response-overview-17-may-2023; https://reliefweb.int/report/syrian-arab-republic/unfpa-whole-syria-situation-report-5-turkiye-syria-earthquake-3-mars-2023,"Estimate of totally damaged buildings  + Number of damaged buildings s as a result of Turkiye / Syria earthquake in Aleppo, Lattaki, Hama, Tartous, Idelb, and Ar-Raqqa by the government of Syria and White Helmets. The figures might not be accurate and up to date and has very low reliability.",REG015Buildings damaged,2023-06-28,Humanitarian development
614,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Buildings destroyed,10600,X +Ocha 14/4/2023,Low,3,x; https://reliefweb.int/report/syrian-arab-republic/unfpa-whole-syria-situation-report-5-turkiye-syria-earthquake-3-mars-2023,There is no available information. + There is no available information.,REG015Buildings destroyed,2023-06-28,Humanitarian development
615,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Buildings in affected area,x,X,Low,3,X,There is no available information. + There is no available information.,REG015Buildings in affected area,2023-06-28,Humanitarian development
616,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Economic Losses,x,X,Low,3,X,There is no available information. + There is no available information.,REG015Economic Losses,2023-06-28,Humanitarian development
617,Multiple crises in Algeria,DZA004,Algeria,Landmass affected,2381741,World Population 06/2023,Medium ,2,https://worldpopulationreview.com/countries/algeria-population,The whole country is covered under the multiple crisis,DZA004Landmass affected,2023-06-30,Humanitarian development
618,Mixed migration flows in Algeria,DZA002,Algeria,Landmass affected,2381741,World Population 06/2023,Medium ,2,https://worldpopulationreview.com/countries/algeria-population,"Most of the migrants arriving in Algeria are looking for work and have settled in different areas of the country, while a minority are in transit on their way to Europe. The specific locations are unclear so ACAPS considers the whole country as affected. ",DZA002Landmass affected,2023-06-30,Humanitarian development
619,Sahrawi refugees in Algeria,DZA003,Algeria,Landmass affected,159000,City Population 12/2022,Low,3,http://www.citypopulation.de/en/algeria/cities/,"The landmass of Tindouf, where the Sahrawi refugees are located.",DZA003Landmass affected,2023-06-30,Humanitarian development
620,Lake Chad basin crisis in Cameroon,CMR002,Cameroon,Landmass affected,34513,National Institute of Statistics of Cameroon 03/06/2022,High,1,https://ins-cameroun.cm/en/statistique/enquete-complementaire-a-la-quatrieme-enquete-camerounaise-aupres-des-menages-ec-ecam-4-monographie-de-la-region-de-lextreme-nord/,The total square kilometres of the Far-North region were gotten from the housing complementary survey report of the National Institute of Statistics. ,CMR002Landmass affected,2023-07-05,Change in the data/methodology
621,Anglophone Crisis in Cameroon,CMR003,Cameroon,Landmass affected,88019,National Institute of Statistics of Cameroon 03/06/2022,Medium,2,https://ins-cameroun.cm/en/statistique/enquete-complementaire-a-la-quatrieme-enquete-camerounaise-aupres-des-menages-ec-ecam-4-monographie-de-la-region-du-nord-ouest/; https://ins-cameroun.cm/en/statistique/enquete-complementaire-a-la-quatrieme-enquete-camerounaise-aupres-des-menages-ec-ecam-4-monographie-de-la-region-du-sud-ouest/; https://ins-cameroun.cm/en/statistique/enquete-complementaire-a-la-quatrieme-enquete-camerounaise-aupres-des-menages-ec-ecam-4-monographie-de-la-region-de-louest/; https://ins-cameroun.cm/wp-content/uploads/2022/07/RAPPORT-MONOGRAPHIE-LITTORAL-SANS-DLA_VF-1.pdf; https://ins-cameroun.cm/wp-content/uploads/2022/07/RAPPORT-MONOGRAPHIE-CENTRE_VF.pdf; https://ins-cameroun.cm/wp-content/uploads/2022/07/RAPPORT-MONOGRAPHIE-ADAMAOUA_VF.pdf,"The total square kilometres of the Northwest region (17,440), Southwest region (25,410), Center region (3,656), Littoral region (19,136), West region (13,892), and Adamawa region (8,485) were gotten from the housing complementary survey report of the National Institute of Statistics",CMR003Landmass affected,2023-07-05,Change in the data/methodology
622,CAR refugees in Cameroon,CMR004,Cameroon,Landmass affected,231318,National Institute of Statistics of Cameroon 03/06/2022; National Institute of Statistics of Cameroon 21/09/2019,High,1,https://ins-cameroun.cm/en/statistique/enquete-complementaire-a-la-quatrieme-enquete-camerounaise-aupres-des-menages-ec-ecam-4-monographie-de-la-region-de-ladamaoua/;  https://ins-cameroun.cm/en/document/rapport-regional-est-annee-2010/; https://ins-cameroun.cm/en/statistique/enquete-complementaire-a-la-quatrieme-enquete-camerounaise-aupres-des-menages-ec-ecam-4-monographie-de-la-region-du-nord/,"The total square kilometres of the Adamawa region (55,766), East region (109,002) and the Nord region (66,550) were gotten both from the housing complementary survey report and the millinium development goal progress report of the National Institute of Statistics.",CMR004Landmass affected,2023-07-05,Change in the data/methodology
623,Lake Chad basin crisis,TCD003,Chad,Total population,907691,OCHA 13/04/2023,High,1,https://data.humdata.org/dataset/chad-humanitarian-needs-overview,"The total population of the Lac region (907,691) was obtained from the Chad Humanitarian Needs Overview of the 13th of April 2023. This figure summarizes the total population of the 4 departments of the Lac region, which include; Mamdi (200,208), Wayi (406,983), Kaya (167,939), and Fouli (132,560) ",TCD003Total population,2023-07-05,Change in the data/methodology
624,Lake Chad basin crisis,TCD003,Chad,Landmass affected,22320,Statoids 26/03/2021,Medium,2,http://www.statoids.com/utd.html ,"The total square kilometres of the Lac region was gotten from the Administrative departments of Countries (""Statoids"")",TCD003Landmass affected,2023-07-05,Change in the data/methodology
625,CAR refugees in Chad,TCD004,Chad,Total population,3449050,OCHA 13/04/2023,High,1,https://data.humdata.org/dataset/chad-humanitarian-needs-overview," The total population of the following regions; Logone Oriental, Mandoul,  Moyen-Chari, and Salamat, was obtained from the Chad Humanitarian Needs Overview of the 13th of April 2023. This figure summarizes the total population of the 15 departments of the 4 regions, which include; Logone Oriental {La Pendé, Kouh Est, Kouh Ouest, La Nya, La Nya Pendé, Monts de Lam}, Mandoul {Mandoul Oriental, Barh-Sara, Mandoul Occidental}, Moyen-Chari {Bahr-Koh, Grande Sido, Lac Iro}, Salamat {Bahr-Azoum, Aboudéia, Haraze-Mangueigne}",TCD004Total population,2023-07-05,Humanitarian development
626,CAR refugees in Chad,TCD004,Chad,Landmass affected,148765,Statoids 26/03/2021; HEASAHEL 01/05/2018,High,1,http://www.statoids.com/utd.html; https://hea-sahel.org/wp-content/uploads/2018/05/Rapport-HEA-zone-agricole-MANDOUL-TCHAD.pdf,"The total square kilometres of the following regions; Logone Oriental, Mandoul, Moyen-Chari, and Salamat were gotten from the Administrative departments of Countries (""Statoids"") and the Sahel Household Economic Approach. ",TCD004Landmass affected,2023-07-05,Humanitarian development
627,Darfur refugees in Chad,TCD005,Chad,Total population,2509340,OCHA 13/04/2023,High,1,https://data.humdata.org/dataset/chad-humanitarian-needs-overview ,"The total population of the following regions; Ouaddai, Wadi Fira, Ennedi Est, and Sila, was obtained from the Chad Humanitarian Needs Overview of the 13th of April 2023. This figure summarizes the total population of the 11 departments of the 4 regions, which include; Ouaddai {Ouara, Abdi, Assoungha}, Wadi Fira {Biltine, Dar-Tama, Kobé, Mégri},  Ennedi Est {Am-Djarass, Wadi Hawar}, and Sila {Kimiti, Djourf Al Ahmar}",TCD005Total population,2023-07-05,Change in the data/methodology
628,Darfur refugees in Chad,TCD005,Chad,Landmass affected,374096,Statoids 26/03/2021; Humanitarian Library 20/05/2013; HEASAHEL 28/02/2018; DB-City 01/01/2023,High,1,http://www.statoids.com/utd.html; https://www.humanitarianlibrary.org/sites/default/files/2013/05/Profil_Dar_Sila_Novembre_2012.pdf; https://hea-sahel.org/wp-content/uploads/2018/02/TD-profil-tchad-td-07-biltine-wadi-fira-octobre-20122240396.pdf; https://fr.db-city.com/Tchad--Ennedi,"The total square kilometres of landmass affected include the following regions; Ouaddai (76,240), Wadi Fira (46,850), Ennedi Est (211,000), and Sila (40,006) were gotten from the Administrative departments of Countries (""Statoids""), the Sahel Household Economic Approach, Humanitarian Library, and the cities and villages of the world website. ",TCD005Landmass affected,2023-07-05,Change in the data/methodology
629,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon",Total population,21538175,City Population 21/03/2022; OCHA 13/04/2023; National Institute of Statistics in Niger 01/01/2022; OCHA 12/05/2023,Medium ,2,https://www.citypopulation.de/en/nigeria/cities/; https://data.humdata.org/dataset/chad-humanitarian-needs-overview; https://www.stat-niger.org/wp-content/uploads/diffa/diffa_en_chiffres_2022.pdf; https://data.humdata.org/dataset/cameroon-humanitarian-needs-overview,"The total population of people affected by the Regional Boko Haram Crisis in Nigeria (Adamawa (4,902,100), Borno (6,111,500) and Yobe States (3,649,600), Chad (Lac Region - 907,691), Cameroon (Far North Region - 5,178,810), and Niger (Diffa Region - 788,474). ",REG001Total population,2023-07-06,Change in the data/methodology
630,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon",Landmass affected,368971,City Population 21/03/2022; Statoids 26/03/2021; National Institute of Statistics in Niger  01/01/2022; Institut National de la Statistique du Cameroun  03/06/2022 and 31/08/2020 ,Medium ,2,https://www.citypopulation.de/en/nigeria/cities/  https://fr.wikipedia.org/wiki/Lac_(province)   https://www.stat-niger.org/wp-content/uploads/diffa/Depliant_Demographique_Diffa_2022.pdf   https://ins-cameroun.cm/wp-content/uploads/2020/08/ANNUAIRE_STATISTIQUE_EDITION_2019_PUBLIE.pdf  ,"Total square kilometres of the affected areas by the Regional Boko Haram Crisis in Nigeria (Adamawa (36,917), Borno (70898) and Yobe States (45,502), Chad (Lac Region -22320 ), Cameroon (Far North Region - 34,513), and Niger (Diffa Region - 156,906 ) ",REG001Landmass affected,2023-07-06,Change in the data/methodology
631,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon",People exposed,21538175,UNOCHA 20/03/2023; UNOCHA 18/11/2022; OCHA 13/04/2023; OCHA 12/05/2023; UNOCHA 06/01/2023; UNOCHA 30/11/2022,High,1,https://reliefweb.int/report/nigeria/nigeria-humanitarian-needs-overview-2023-february-2023; https://data.humdata.org/dataset/nigeria-humanitarian-needs-overview; https://data.humdata.org/dataset/chad-humanitarian-needs-overview; https://data.humdata.org/dataset/cameroon-humanitarian-needs-overview; https://reliefweb.int/report/niger/niger-apercu-des-besoins-humanitaires-2023-janvier-2023; https://data.humdata.org/dataset/niger-humanitarian-needs-overview   ,"People exposed to the Regional Boko Haram Crisis from multiple sectors such as; education, nutrition, health, protection, WASH and food security in Nigeria (Adamawa, Borno and Yobe states), Chad (Lac region), Cameroon (Far-North region) and Niger (Diffa region). ",REG001People exposed,2023-07-06,Humanitarian development
632,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon",People affected,11099151,UNOCHA 20/03/2023; UNOCHA 18/11/2022; OCHA 13/04/2023; OCHA 12/05/2023; UNOCHA 06/01/2023; UNOCHA 30/11/2022,High,1,https://reliefweb.int/report/nigeria/nigeria-humanitarian-needs-overview-2023-february-2023; https://data.humdata.org/dataset/nigeria-humanitarian-needs-overview; https://data.humdata.org/dataset/chad-humanitarian-needs-overview; https://data.humdata.org/dataset/cameroon-humanitarian-needs-overview; https://reliefweb.int/report/niger/niger-apercu-des-besoins-humanitaires-2023-janvier-2023; https://data.humdata.org/dataset/niger-humanitarian-needs-overview   ,"Persons affected by the Regional Boko Haram Crisis from multiple sectors such as; education, nutrition, health, protection, WASH and food security in Nigeria (Adamawa, Borno and Yobe states), Chad (Lac region), Cameroon (Far-North region) and Niger (Diffa region). ",REG001People affected,2023-07-06,Humanitarian development
633,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon",People in Need,11099151,UNOCHA 20/03/2023; UNOCHA 18/11/2022; OCHA 13/04/2023; OCHA 12/05/2023; UNOCHA 06/01/2023; UNOCHA 30/11/2022,High,1,https://reliefweb.int/report/nigeria/nigeria-humanitarian-needs-overview-2023-february-2023; https://data.humdata.org/dataset/nigeria-humanitarian-needs-overview; https://data.humdata.org/dataset/chad-humanitarian-needs-overview; https://data.humdata.org/dataset/cameroon-humanitarian-needs-overview; https://reliefweb.int/report/niger/niger-apercu-des-besoins-humanitaires-2023-janvier-2023; https://data.humdata.org/dataset/niger-humanitarian-needs-overview   ,"People in need of humanitarian assistance for the Regional Boko Haram Crisis include; Internally displaced persons, asylum seekers, returned refugees, Nigerian refugees registered in Chad, Niger and Cameroon, persons of concern under the competence of the UNHCR, and returned internally displaced persons. This figure summarizes persons in various countries precisely; Nigeria (Adamawa, Borno and Yobe states), Chad (Lac region), Cameroon (Far-North region) and Niger (Diffa region). ",REG001People in Need,2023-07-06,Humanitarian development
